MR;Type;STC;FUTCs;LocalDistance
MR149;CONJUNCTIVE_CONTRACT;Test-06;5;10
MR172;CONJUNCTIVE_EXTEND;Test-06;3;5
MR80;CONJUNCTIVE_EXTEND;Test-03;2;6
MR522;CONJUNCTIVE_CONTRACT;Test-18;4;10
MR433;CONJUNCTIVE_CONTRACT;Test-15;2;10
MR45;CONJUNCTIVE_CONTRACT;Test-02;4;12
MR181;CONJUNCTIVE_CONTRACT;Test-07;1;9
MR336;EQUIVALENCE_EXTEND;Test-11;1;1
MR539;CONJUNCTIVE_EXTEND;Test-18;4;5
MR135;CONJUNCTIVE_EXTEND;Test-05;4;7
MR546;CONJUNCTIVE_CONTRACT;Test-19;3;12
MR479;DISJOINT_EXTEND;Test-16;6;6
MR178;DISJOINT_EXTEND;Test-06;5;5
MR22;CONJUNCTIVE_EXTEND;Test-01;2;5
MR458;CONJUNCTIVE_CONTRACT;Test-16;2;9
MR28;DISJOINT_EXTEND;Test-01;5;5
MR243;DISJOINT_EXTEND;Test-08;5;5
MR534;CONJUNCTIVE_EXTEND;Test-18;2;5
MR165;CONJUNCTIVE_EXTEND;Test-06;4;5
MR439;CONJUNCTIVE_EXTEND;Test-15;2;5
MR526;CONJUNCTIVE_CONTRACT;Test-18;2;10
MR340;CONJUNCTIVE_CONTRACT;Test-12;6;13
MR85;CONJUNCTIVE_CONTRACT;Test-04;3;9
MR266;CONJUNCTIVE_EXTEND;Test-09;3;5
MR478;DISJOINT_EXTEND;Test-16;6;6
MR406;CONJUNCTIVE_EXTEND;Test-14;3;5
MR255;CONJUNCTIVE_CONTRACT;Test-09;4;10
MR231;CONJUNCTIVE_CONTRACT;Test-08;3;10
MR319;CONJUNCTIVE_CONTRACT;Test-11;2;9
MR572;CONJUNCTIVE_CONTRACT;Test-20;3;12
MR576;CONJUNCTIVE_CONTRACT;Test-20;5;12
MR483;CONJUNCTIVE_CONTRACT;Test-17;2;8
MR265;CONJUNCTIVE_EXTEND;Test-09;2;5
MR18;CONJUNCTIVE_EXTEND;Test-01;4;5
MR73;CONJUNCTIVE_EXTEND;Test-03;2;6
MR167;CONJUNCTIVE_EXTEND;Test-06;3;5
MR499;CONJUNCTIVE_EXTEND;Test-17;3;7
MR182;CONJUNCTIVE_CONTRACT;Test-07;2;9
MR461;CONJUNCTIVE_CONTRACT;Test-16;2;9
MR197;CONJUNCTIVE_EXTEND;Test-07;4;6
MR134;CONJUNCTIVE_EXTEND;Test-05;4;7
MR488;CONJUNCTIVE_CONTRACT;Test-17;3;8
MR327;CONJUNCTIVE_EXTEND;Test-11;2;6
MR528;CONJUNCTIVE_CONTRACT;Test-18;2;10
MR129;CONJUNCTIVE_EXTEND;Test-05;3;7
