MR;Type;STC;FUTCs;LocalDistance
MR305;CONJUNCTIVE_CONTRACT;Test-16;2;4
MR434;CONJUNCTIVE_CONTRACT;Test-24;3;10
MR136;COMPLETE_EXTEND;Test-07;2;2
MR30;CONJUNCTIVE_CONTRACT;Test-02;3;19
MR13;CONJUNCTIVE_EXTEND;Test-01;2;7
MR43;CONJUNCTIVE_EXTEND;Test-03;1;3
MR994;COMPLETE_EXTEND;Test-59;2;2
MR697;CONJUNCTIVE_CONTRACT;Test-41;2;2
MR400;COMPLETE_EXTEND;Test-22;3;3
MR722;DISJOINT_EXTEND;Test-42;2;2
MR350;COMPLETE_EXTEND;Test-19;2;2
MR83;CONJUNCTIVE_CONTRACT;Test-05;4;15
MR596;DISJOINT_EXTEND;Test-33;2;2
MR401;CONJUNCTIVE_CONTRACT;Test-23;3;15
MR34;DISJOINT_EXTEND;Test-02;1;1
MR939;SHUFFLING_EXTEND;Test-56;2;2
MR211;CONJUNCTIVE_CONTRACT;Test-11;3;5
MR991;DISJOINT_EXTEND;Test-59;2;2
MR105;CONJUNCTIVE_CONTRACT;Test-06;3;13
MR1079;DISJOINT_EXTEND;Test-64;2;2
MR137;COMPLETE_EXTEND;Test-07;2;2
MR509;DISJOINT_EXTEND;Test-28;2;2
MR1005;CONJUNCTIVE_CONTRACT;Test-60;3;4
MR285;CONJUNCTIVE_EXTEND;Test-15;1;3
MR1052;COMPLETE_EXTEND;Test-62;2;2
MR880;EQUIVALENCE_EXTEND;Test-52;2;3
MR556;CONJUNCTIVE_EXTEND;Test-31;1;6
MR597;COMPLETE_EXTEND;Test-33;2;2
MR408;CONJUNCTIVE_CONTRACT;Test-23;3;16
MR159;COMPLETE_EXTEND;Test-08;2;2
MR24;CONJUNCTIVE_CONTRACT;Test-02;1;1
MR542;COMPLETE_EXTEND;Test-30;3;3
MR510;COMPLETE_EXTEND;Test-28;2;2
MR627;CONJUNCTIVE_CONTRACT;Test-36;3;3
MR830;COMPLETE_EXTEND;Test-49;2;2
MR1051;COMPLETE_EXTEND;Test-62;2;2
MR741;DISJOINT_EXTEND;Test-43;2;2
MR253;CONJUNCTIVE_EXTEND;Test-13;1;3
MR232;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR507;SHUFFLING_EXTEND;Test-28;2;2
MR443;CONJUNCTIVE_CONTRACT;Test-25;3;8
MR145;CONJUNCTIVE_CONTRACT;Test-08;3;11
MR532;COMPLETE_EXTEND;Test-29;2;2
MR33;DISJOINT_EXTEND;Test-02;1;1
MR828;DISJOINT_EXTEND;Test-49;2;2
MR103;CONJUNCTIVE_CONTRACT;Test-06;3;13
MR853;CONJUNCTIVE_CONTRACT;Test-51;3;4
MR740;SHUFFLING_EXTEND;Test-43;2;2
MR511;COMPLETE_EXTEND;Test-28;2;2
MR60;CONJUNCTIVE_EXTEND;Test-04;1;3
MR690;COMPLETE_EXTEND;Test-40;2;2
MR897;COMPLETE_EXTEND;Test-53;2;2
MR530;DISJOINT_EXTEND;Test-29;2;2
MR286;CONJUNCTIVE_EXTEND;Test-15;1;3
MR857;CONJUNCTIVE_CONTRACT;Test-51;3;5
MR925;DISJOINT_EXTEND;Test-55;2;2
MR756;CONJUNCTIVE_EXTEND;Test-44;1;3
MR236;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR744;COMPLETE_EXTEND;Test-43;2;2
MR531;COMPLETE_EXTEND;Test-29;2;2
MR976;CONJUNCTIVE_CONTRACT;Test-59;3;16
MR278;CONJUNCTIVE_CONTRACT;Test-15;2;5
MR689;DISJOINT_EXTEND;Test-40;2;2
MR307;CONJUNCTIVE_EXTEND;Test-16;1;2
MR528;DISJOINT_EXTEND;Test-29;2;2
MR235;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR411;CONJUNCTIVE_EXTEND;Test-23;1;1
MR958;CONJUNCTIVE_CONTRACT;Test-58;3;8
MR107;CONJUNCTIVE_EXTEND;Test-06;1;3
MR798;CONJUNCTIVE_CONTRACT;Test-48;3;4
MR551;CONJUNCTIVE_CONTRACT;Test-31;2;2
MR816;CONJUNCTIVE_CONTRACT;Test-49;2;3
MR785;CONJUNCTIVE_CONTRACT;Test-47;3;4
MR45;CONJUNCTIVE_EXTEND;Test-03;1;2
MR847;CONJUNCTIVE_CONTRACT;Test-51;3;5
MR133;CONJUNCTIVE_EXTEND;Test-07;1;3
MR369;COMPLETE_EXTEND;Test-20;2;2
MR458;DISJOINT_EXTEND;Test-25;2;2
MR476;DISJOINT_EXTEND;Test-26;2;2
MR1023;CONJUNCTIVE_EXTEND;Test-61;1;3
MR645;CONJUNCTIVE_EXTEND;Test-37;1;3
MR500;CONJUNCTIVE_CONTRACT;Test-28;3;12
MR876;DISJOINT_EXTEND;Test-52;2;2
MR738;CONJUNCTIVE_EXTEND;Test-43;1;5
MR239;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR38;CONJUNCTIVE_CONTRACT;Test-03;2;9
MR1075;CONJUNCTIVE_CONTRACT;Test-64;2;3
MR412;CONJUNCTIVE_EXTEND;Test-23;1;1
MR56;CONJUNCTIVE_CONTRACT;Test-04;2;7
MR104;CONJUNCTIVE_CONTRACT;Test-06;3;13
MR131;CONJUNCTIVE_EXTEND;Test-07;1;3
MR878;COMPLETE_EXTEND;Test-52;2;2
MR79;CONJUNCTIVE_CONTRACT;Test-05;3;15
MR975;COMPLETE_EXTEND;Test-58;2;2
MR755;CONJUNCTIVE_EXTEND;Test-44;1;2
MR385;CONJUNCTIVE_CONTRACT;Test-21;3;4
MR422;EQUIVALENCE_EXTEND;Test-23;1;2
MR973;DISJOINT_EXTEND;Test-58;2;2
MR799;CONJUNCTIVE_CONTRACT;Test-48;3;4
MR642;CONJUNCTIVE_EXTEND;Test-37;1;3
MR882;CONJUNCTIVE_CONTRACT;Test-53;2;4
MR660;CONJUNCTIVE_CONTRACT;Test-39;3;8
MR284;CONJUNCTIVE_EXTEND;Test-15;1;2
MR581;DISJOINT_EXTEND;Test-32;2;2
MR226;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR68;EQUIVALENCE_EXTEND;Test-04;1;2
MR19;COMPLETE_EXTEND;Test-01;3;3
MR25;CONJUNCTIVE_CONTRACT;Test-02;1;6
MR46;CONJUNCTIVE_EXTEND;Test-03;1;2
MR1039;CONJUNCTIVE_CONTRACT;Test-62;3;14
MR783;CONJUNCTIVE_CONTRACT;Test-47;3;4
MR423;EQUIVALENCE_EXTEND;Test-23;1;1
MR316;EQUIVALENCE_EXTEND;Test-16;1;1
MR445;CONJUNCTIVE_CONTRACT;Test-25;2;4
MR225;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR44;CONJUNCTIVE_EXTEND;Test-03;1;2
MR130;CONJUNCTIVE_EXTEND;Test-07;1;3
MR382;CONJUNCTIVE_CONTRACT;Test-21;3;4
MR1017;CONJUNCTIVE_CONTRACT;Test-61;2;8
MR413;CONJUNCTIVE_EXTEND;Test-23;1;1
MR14;CONJUNCTIVE_EXTEND;Test-01;1;11
MR981;CONJUNCTIVE_CONTRACT;Test-59;2;9
MR384;CONJUNCTIVE_CONTRACT;Test-21;3;4
MR932;CONJUNCTIVE_CONTRACT;Test-56;2;8
MR255;CONJUNCTIVE_EXTEND;Test-13;1;1
MR959;CONJUNCTIVE_CONTRACT;Test-58;2;2
MR238;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR283;CONJUNCTIVE_EXTEND;Test-15;1;2
