MR;Type;STC;FUTCs;LocalDistance
MR835;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR448;CONJUNCTIVE_CONTRACT;Test-25;1;6
MR836;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR914;CONJUNCTIVE_CONTRACT;Test-55;1;6
MR643;CONJUNCTIVE_EXTEND;Test-37;1;6
MR447;CONJUNCTIVE_CONTRACT;Test-25;1;6
MR405;CONJUNCTIVE_CONTRACT;Test-23;1;6
MR885;CONJUNCTIVE_CONTRACT;Test-53;1;6
MR839;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR25;CONJUNCTIVE_CONTRACT;Test-02;1;6
MR1074;CONJUNCTIVE_CONTRACT;Test-64;1;6
MR1072;CONJUNCTIVE_CONTRACT;Test-64;2;6
MR926;CONJUNCTIVE_CONTRACT;Test-56;1;6
MR144;CONJUNCTIVE_CONTRACT;Test-08;1;6
MR837;CONJUNCTIVE_CONTRACT;Test-50;2;6
MR838;CONJUNCTIVE_CONTRACT;Test-50;1;6
MR841;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR817;CONJUNCTIVE_CONTRACT;Test-49;1;6
MR573;CONJUNCTIVE_EXTEND;Test-32;3;6
MR555;CONJUNCTIVE_EXTEND;Test-31;3;6
MR684;CONJUNCTIVE_CONTRACT;Test-40;2;6
MR950;CONJUNCTIVE_CONTRACT;Test-57;4;6
MR713;CONJUNCTIVE_CONTRACT;Test-42;1;6
MR964;CONJUNCTIVE_CONTRACT;Test-58;2;6
MR834;CONJUNCTIVE_CONTRACT;Test-50;2;6
MR683;CONJUNCTIVE_CONTRACT;Test-40;2;6
MR574;CONJUNCTIVE_EXTEND;Test-32;2;6
MR556;CONJUNCTIVE_EXTEND;Test-31;1;6
MR122;CONJUNCTIVE_CONTRACT;Test-07;1;6
MR840;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR693;CONJUNCTIVE_CONTRACT;Test-41;1;6
MR343;CONJUNCTIVE_EXTEND;Test-19;1;6
MR915;CONJUNCTIVE_CONTRACT;Test-55;2;5
MR502;CONJUNCTIVE_EXTEND;Test-28;1;5
MR767;CONJUNCTIVE_CONTRACT;Test-45;1;5
MR869;CONJUNCTIVE_CONTRACT;Test-52;1;5
MR634;CONJUNCTIVE_CONTRACT;Test-37;1;5
MR820;CONJUNCTIVE_EXTEND;Test-49;2;5
MR187;CONJUNCTIVE_CONTRACT;Test-10;1;5
MR469;CONJUNCTIVE_EXTEND;Test-26;1;5
MR866;CONJUNCTIVE_CONTRACT;Test-52;2;5
MR1008;SHUFFLING_EXTEND;Test-60;5;5
MR1014;CONJUNCTIVE_CONTRACT;Test-61;1;5
MR905;CONJUNCTIVE_CONTRACT;Test-54;2;5
MR855;CONJUNCTIVE_CONTRACT;Test-51;1;5
MR521;CONJUNCTIVE_EXTEND;Test-29;3;5
MR908;CONJUNCTIVE_CONTRACT;Test-54;2;5
MR402;CONJUNCTIVE_CONTRACT;Test-23;1;5
MR95;CONJUNCTIVE_CONTRACT;Test-06;1;5
MR967;CONJUNCTIVE_CONTRACT;Test-58;1;5
MR287;CONJUNCTIVE_EXTEND;Test-15;2;5
MR982;CONJUNCTIVE_CONTRACT;Test-59;1;5
MR738;CONJUNCTIVE_EXTEND;Test-43;1;5
MR250;CONJUNCTIVE_CONTRACT;Test-13;1;5
MR18;SHUFFLING_EXTEND;Test-01;5;5
MR450;CONJUNCTIVE_CONTRACT;Test-25;2;5
MR930;CONJUNCTIVE_CONTRACT;Test-56;1;5
