MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR125;CONJUNCTIVE_CONTRACT;Test-06;10;4;9;[term, sortBy, price, specialOffers, numberOfPlayers, feature, headsets, input, playArea, os];[playArea];[input, os, price, specialOffers, term];[headsets];[feature, numberOfPlayers];[];[]
MR326;CONJUNCTIVE_CONTRACT;Test-14;9;4;8;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[vrSupport];[feature, os, selectedTypes, specialOffers, term];[playArea];[language];[];[]
MR214;SHUFFLING_CONTRACT;Test-09;8;1;1;[term, sortBy, price, tag, selectedTypes, input, playArea, os];[sortBy];[];[];[];[];[]
MR151;CONJUNCTIVE_CONTRACT;Test-07;7;2;7;[term, price, specialOffers, tag, selectedTypes, feature, language];[specialOffers, tag, term];[feature, language, price, selectedTypes];[];[];[];[]
MR365;CONJUNCTIVE_CONTRACT;Test-16;11;1;10;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, input, playArea];[headsets, input, numberOfPlayers, playArea, price, selectedTypes, specialOffers, tag, term, vrSupport];[];[];[];[];[]
MR53;CONJUNCTIVE_CONTRACT;Test-03;11;3;11;[term, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, headsets, input, playArea, language];[headsets, input, numberOfPlayers, playArea, selectedTypes, specialOffers, tag, term];[language, vrSupport];[feature];[];[];[]
MR165;CONJUNCTIVE_EXTEND;Test-07;7;2;6;[term, price, specialOffers, tag, selectedTypes, feature, language];[vrSupport];[headsets, input, numberOfPlayers, os, playArea];[];[];[];[]
MR347;CONJUNCTIVE_CONTRACT;Test-15;7;4;6;[term, sortBy, numberOfPlayers, feature, vrSupport, input, playArea];[feature];[playArea];[term, vrSupport];[input, numberOfPlayers];[];[]
MR316;DISJOINT_EXTEND;Test-13;8;3;3;[term, price, specialOffers, selectedTypes:downloableContent, numberOfPlayers, feature, headsets, os];[selectedTypes:games];[selectedTypes:software];[selectedTypes:demos];[];[];[]
MR406;CONJUNCTIVE_EXTEND;Test-17;6;3;7;[term, specialOffers, feature, vrSupport, os, language];[headsets, numberOfPlayers, playArea, selectedTypes, tag];[price];[input];[];[];[]
MR185;CONJUNCTIVE_EXTEND;Test-08;10;3;4;[term, sortBy, price, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, playArea, os];[feature, input];[specialOffers];[language];[];[];[]
MR136;CONJUNCTIVE_EXTEND;Test-06;10;1;4;[term, sortBy, price, specialOffers, numberOfPlayers, feature, headsets, input, playArea, os];[language, selectedTypes, tag, vrSupport];[];[];[];[];[]
MR65;CONJUNCTIVE_EXTEND;Test-03;11;2;2;[term, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, headsets, input, playArea, language];[price];[os];[];[];[];[]
MR66;CONJUNCTIVE_EXTEND;Test-03;11;1;2;[term, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, headsets, input, playArea, language];[os, price];[];[];[];[];[]
MR295;CONJUNCTIVE_CONTRACT;Test-13;8;4;8;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[headsets, price];[feature, numberOfPlayers, os];[selectedTypes, specialOffers];[term];[];[]
MR191;DISJOINT_EXTEND;Test-08;10;4;4;[term, sortBy, price, tag, selectedTypes:downloableContent, numberOfPlayers, vrSupport, headsets, playArea, os];[selectedTypes:games];[selectedTypes:software];[selectedTypes:demos];[selectedTypes:soundtracks];[];[]
MR385;CONJUNCTIVE_EXTEND;Test-16;11;2;3;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, input, playArea];[feature];[language, os];[];[];[];[]
MR72;CONJUNCTIVE_CONTRACT;Test-04;5;3;4;[sortBy, price, tag, numberOfPlayers, feature];[feature, price];[tag];[numberOfPlayers];[];[];[]
MR218;CONJUNCTIVE_CONTRACT;Test-10;8;3;7;[term, sortBy, tag, numberOfPlayers, vrSupport, headsets, input, language];[tag, term];[headsets, input, language, vrSupport];[numberOfPlayers];[];[];[]
MR337;CONJUNCTIVE_EXTEND;Test-14;9;3;5;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[headsets, input];[tag];[numberOfPlayers, price];[];[];[]
MR267;CONJUNCTIVE_CONTRACT;Test-12;9;3;8;[sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, os];[os];[numberOfPlayers, price, selectedTypes, specialOffers, tag, vrSupport];[feature];[];[];[]
MR342;CONJUNCTIVE_CONTRACT;Test-15;7;2;6;[term, sortBy, numberOfPlayers, feature, vrSupport, input, playArea];[feature, term];[input, numberOfPlayers, playArea, vrSupport];[];[];[];[]
MR217;CONJUNCTIVE_CONTRACT;Test-10;8;1;7;[term, sortBy, tag, numberOfPlayers, vrSupport, headsets, input, language];[headsets, input, language, numberOfPlayers, tag, term, vrSupport];[];[];[];[];[]
MR343;CONJUNCTIVE_CONTRACT;Test-15;7;2;6;[term, sortBy, numberOfPlayers, feature, vrSupport, input, playArea];[feature, input, numberOfPlayers, playArea, vrSupport];[term];[];[];[];[]
MR47;CONJUNCTIVE_EXTEND;Test-02;8;3;6;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[language, price, vrSupport];[feature, headsets];[term];[];[];[]
MR212;CONJUNCTIVE_EXTEND;Test-09;8;3;6;[term, sortBy, price, tag, selectedTypes, input, playArea, os];[numberOfPlayers];[feature, headsets, specialOffers, vrSupport];[language];[];[];[]
MR29;CONJUNCTIVE_CONTRACT;Test-02;8;4;7;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[input, os, playArea, specialOffers];[tag];[numberOfPlayers];[selectedTypes];[];[]
MR39;CONJUNCTIVE_EXTEND;Test-02;8;1;6;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[feature, headsets, language, price, term, vrSupport];[];[];[];[];[]
MR181;CONJUNCTIVE_EXTEND;Test-08;10;3;4;[term, sortBy, price, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, playArea, os];[feature];[input, language];[specialOffers];[];[];[]
MR232;CONJUNCTIVE_EXTEND;Test-10;8;3;6;[term, sortBy, tag, numberOfPlayers, vrSupport, headsets, input, language];[price];[playArea, selectedTypes, specialOffers];[feature, os];[];[];[]
MR118;DISJOINT_EXTEND;Test-05;6;3;3;[price, selectedTypes:games, numberOfPlayers, vrSupport, os, language];[selectedTypes:software];[selectedTypes:downloableContent];[selectedTypes:demos];[];[];[]
MR51;CONJUNCTIVE_CONTRACT;Test-03;11;4;11;[term, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, headsets, input, playArea, language];[language, numberOfPlayers, playArea, selectedTypes];[input, specialOffers, tag, term, vrSupport];[feature];[headsets];[];[]
MR48;SHUFFLING_CONTRACT;Test-02;8;1;1;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[sortBy];[];[];[];[];[]
MR85;CONJUNCTIVE_EXTEND;Test-04;5;2;9;[sortBy, price, tag, numberOfPlayers, feature];[headsets, input, language, vrSupport];[os, playArea, selectedTypes, specialOffers, term];[];[];[];[]
MR143;SHUFFLING_EXTEND;Test-06;10;3;3;[term, sortBy:lowestPrice, price, specialOffers, numberOfPlayers, feature, headsets, input, playArea, os];[sortBy:relevance];[sortBy:releaseDate];[sortBy:name];[];[];[]
MR396;CONJUNCTIVE_CONTRACT;Test-17;6;4;6;[term, specialOffers, feature, vrSupport, os, language];[language, specialOffers];[vrSupport];[feature, os];[term];[];[]
MR329;CONJUNCTIVE_EXTEND;Test-14;9;3;5;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[headsets, input, numberOfPlayers];[price];[tag];[];[];[]
MR350;CONJUNCTIVE_CONTRACT;Test-15;7;2;6;[term, sortBy, numberOfPlayers, feature, vrSupport, input, playArea];[feature, vrSupport];[input, numberOfPlayers, playArea, term];[];[];[];[]
MR9;CONJUNCTIVE_CONTRACT;Test-01;7;4;6;[term, sortBy, price, feature, vrSupport, headsets, language];[term];[feature, language, vrSupport];[price];[headsets];[];[]
MR308;CONJUNCTIVE_EXTEND;Test-13;8;3;5;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[playArea, tag];[language, vrSupport];[input];[];[];[]
MR294;CONJUNCTIVE_CONTRACT;Test-13;8;5;8;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[headsets, price, selectedTypes, specialOffers];[numberOfPlayers];[term];[feature];[os];[]
MR195;CONJUNCTIVE_CONTRACT;Test-09;8;3;7;[term, sortBy, price, tag, selectedTypes, input, playArea, os];[os, price];[input, playArea, tag, term];[selectedTypes];[];[];[]
MR306;CONJUNCTIVE_EXTEND;Test-13;8;3;5;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[playArea];[input, tag, vrSupport];[language];[];[];[]
MR398;CONJUNCTIVE_CONTRACT;Test-17;6;3;6;[term, specialOffers, feature, vrSupport, os, language];[feature, specialOffers, term, vrSupport];[language];[os];[];[];[]
MR89;CONJUNCTIVE_EXTEND;Test-04;5;3;9;[sortBy, price, tag, numberOfPlayers, feature];[headsets, input, os, selectedTypes, specialOffers, term, vrSupport];[playArea];[language];[];[];[]
MR258;CONJUNCTIVE_EXTEND;Test-11;10;2;4;[sortBy, price, specialOffers, tag, selectedTypes, feature, headsets, input, playArea, os];[language, numberOfPlayers];[term, vrSupport];[];[];[];[]
MR228;CONJUNCTIVE_CONTRACT;Test-10;8;6;7;[term, sortBy, tag, numberOfPlayers, vrSupport, headsets, input, language];[language];[input];[numberOfPlayers, vrSupport];[term];[headsets];[tag]
MR91;SHUFFLING_EXTEND;Test-04;5;1;1;[sortBy:relevance, price, tag, numberOfPlayers, feature];[sortBy:releaseDate];[];[];[];[];[]
MR390;CONJUNCTIVE_CONTRACT;Test-17;6;2;6;[term, specialOffers, feature, vrSupport, os, language];[feature, language, os, term, vrSupport];[specialOffers];[];[];[];[]
MR189;SHUFFLING_CONTRACT;Test-08;10;1;1;[term, sortBy, price, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, playArea, os];[sortBy];[];[];[];[];[]
MR24;CONJUNCTIVE_CONTRACT;Test-02;8;4;7;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[playArea, selectedTypes];[os];[input, numberOfPlayers, tag];[specialOffers];[];[]
MR352;CONJUNCTIVE_EXTEND;Test-15;7;2;7;[term, sortBy, numberOfPlayers, feature, vrSupport, input, playArea];[headsets, language, os, selectedTypes, specialOffers, tag];[price];[];[];[];[]
MR377;CONJUNCTIVE_CONTRACT;Test-16;11;4;10;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, input, playArea];[numberOfPlayers, playArea, price, selectedTypes, term, vrSupport];[specialOffers, tag];[input];[headsets];[];[]
MR333;CONJUNCTIVE_EXTEND;Test-14;9;2;5;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[input, numberOfPlayers];[headsets, price, tag];[];[];[];[]
MR186;CONJUNCTIVE_EXTEND;Test-08;10;1;4;[term, sortBy, price, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, playArea, os];[feature, input, language, specialOffers];[];[];[];[];[]
MR171;CONJUNCTIVE_CONTRACT;Test-08;10;2;9;[term, sortBy, price, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, playArea, os];[headsets, os, price, term, vrSupport];[numberOfPlayers, playArea, selectedTypes, tag];[];[];[];[]
MR119;EQUIVALENCE_EXTEND;Test-05;6;1;1;[price, selectedTypes, numberOfPlayers, vrSupport, os, language];[sortBy:relevance];[];[];[];[];[]
MR116;CONJUNCTIVE_EXTEND;Test-05;6;2;7;[price, selectedTypes, numberOfPlayers, vrSupport, os, language];[input, tag];[feature, headsets, playArea, specialOffers, term];[];[];[];[]
MR371;CONJUNCTIVE_CONTRACT;Test-16;11;5;10;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, input, playArea];[selectedTypes];[playArea, tag, term];[input];[numberOfPlayers, price, specialOffers, vrSupport];[headsets];[]
MR357;CONJUNCTIVE_EXTEND;Test-15;7;3;7;[term, sortBy, numberOfPlayers, feature, vrSupport, input, playArea];[specialOffers, tag];[headsets, language, price];[os, selectedTypes];[];[];[]
MR177;CONJUNCTIVE_CONTRACT;Test-08;10;1;9;[term, sortBy, price, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, playArea, os];[headsets, numberOfPlayers, os, playArea, price, selectedTypes, tag, term, vrSupport];[];[];[];[];[]
MR314;CONJUNCTIVE_EXTEND;Test-13;8;5;5;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[playArea];[input];[language];[tag];[vrSupport];[]
MR248;CONJUNCTIVE_CONTRACT;Test-11;10;3;9;[sortBy, price, specialOffers, tag, selectedTypes, feature, headsets, input, playArea, os];[input, price, selectedTypes];[feature, os, specialOffers, tag];[headsets, playArea];[];[];[]
MR169;CONJUNCTIVE_CONTRACT;Test-08;10;2;9;[term, sortBy, price, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, playArea, os];[headsets, numberOfPlayers, os, price, selectedTypes, tag, term, vrSupport];[playArea];[];[];[];[]
