MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR462;CONJUNCTIVE_EXTEND;Test-09;23;3;9;[title, title_type, release_date_end, user_rating_max, genres, title_groups, title_data, companies, instant_watch_options, US_certificates, countries, keyword, languages, filming_locations, plot, cast_crew, runtime_min, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[color_info, popularity_max, popularity_min, release_date_start, runtime_max, sound_mix, user_rating_min];[];[];[number_votes_min];[];[];[number_votes_max];[];[];[];[];[];[];[];[];[];[];[]
MR926;CONJUNCTIVE_CONTRACT;Test-18;20;4;13;[title, release_date_end, user_rating_min, number_votes_min, genres, title_groups, title_data, companies, US_certificates, color_info, languages, popularity_max, cast_crew, runtime_min, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[US_certificates, cast_crew, companies, genres, number_votes_min, release_date_end, runtime_min, title_data, title_groups];[];[];[color_info];[];[];[languages, user_rating_min];[];[];[popularity_max];[];[];[];[];[];[];[]
MR1004;CONJUNCTIVE_EXTEND;Test-19;16;6;16;[title, release_date_start, user_rating_max, title_data, companies, US_certificates, languages, filming_locations, popularity_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[color_info, countries];[];[];[keyword];[];[];[instant_watch_options, plot, title_groups, title_type];[];[];[cast_crew, genres, number_votes_max, number_votes_min, popularity_min, runtime_max];[];[];[release_date_end, user_rating_min];[];[];[runtime_min];[];[]
MR231;CONJUNCTIVE_CONTRACT;Test-05;19;5;13;[title_type, release_date_end, user_rating_min, genres, title_groups, companies, US_certificates, countries, keyword, filming_locations, popularity_max, runtime_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[user_rating_min];[];[];[runtime_max, title_groups];[];[];[companies, filming_locations];[];[];[US_certificates, countries, keyword, release_date_end, sound_mix];[];[];[genres, popularity_max, title_type];[];[];[];[]
MR160;SHUFFLING_EXTEND;Test-03;24;3;3;[release_date_start, user_rating_max, number_votes_min, number_votes_max, genres, title_groups, companies, instant_watch_options, US_certificates, color_info, countries, keyword, languages, popularity_min, popularity_max, cast_crew, runtime_min, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by:Popularity Descending];[];[];[sorted_by:Popularity Ascending];[];[];[sorted_by:A-Z Ascending];[];[];[sorted_by:A-Z Descending];[];[];[];[];[];[];[];[];[]
MR992;CONJUNCTIVE_EXTEND;Test-19;16;5;16;[title, release_date_start, user_rating_max, title_data, companies, US_certificates, languages, filming_locations, popularity_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[color_info, genres, instant_watch_options, release_date_end, runtime_max, runtime_min, title_groups, title_type];[];[];[countries];[];[];[cast_crew, keyword, number_votes_max, plot, user_rating_min];[];[];[number_votes_min];[];[];[popularity_min];[];[];[];[];[]
MR434;CONJUNCTIVE_CONTRACT;Test-09;23;4;16;[title, title_type, release_date_end, user_rating_max, genres, title_groups, title_data, companies, instant_watch_options, US_certificates, countries, keyword, languages, filming_locations, plot, cast_crew, runtime_min, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[US_certificates, genres, keyword, languages, plot, title_data];[];[];[filming_locations, title_type];[];[];[cast_crew, companies, countries, instant_watch_options, release_date_end, runtime_min, user_rating_max];[];[];[title_groups];[];[];[];[];[];[];[]
MR394;CONJUNCTIVE_CONTRACT;Test-08;20;5;14;[title_type, release_date_start, user_rating_max, genres, title_data, instant_watch_options, US_certificates, color_info, languages, filming_locations, popularity_min, plot, runtime_min, runtime_max, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[genres, runtime_min, user_rating_max];[];[];[filming_locations, languages, plot, popularity_min, release_date_start, runtime_max, title_data];[];[];[US_certificates, title_type];[];[];[instant_watch_options];[];[];[color_info];[];[];[];[]
MR7;CONJUNCTIVE_CONTRACT;Test-01;20;2;13;[title, release_date_end, user_rating_max, genres, title_data, companies, instant_watch_options, US_certificates, color_info, keyword, languages, popularity_max, plot, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[color_info, companies, genres, instant_watch_options, keyword, languages, plot, popularity_max, release_date_end, sound_mix, user_rating_max];[];[];[US_certificates, title_data];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR976;CONJUNCTIVE_CONTRACT;Test-19;16;3;9;[title, release_date_start, user_rating_max, title_data, companies, US_certificates, languages, filming_locations, popularity_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[languages, title_data];[];[];[companies, filming_locations, popularity_max, release_date_start];[];[];[US_certificates, sound_mix, user_rating_max];[];[];[];[];[];[];[];[];[];[]
