MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR6;CONJUNCTIVE_CONTRACT;Test-01;7;4;5;[id, reference, new_client, total, payment, status, order];[total];[reference];[id, new_client];[status];[];[]
MR134;CONJUNCTIVE_CONTRACT;Test-09;8;4;6;[id, reference, delivery, customer, total, payment, status, order];[customer, reference];[total];[delivery, id];[status];[];[]
MR61;SHUFFLING_CONTRACT;Test-04;5;1;1;[id, total, status, to, order];[order];[];[];[];[];[]
MR100;CONJUNCTIVE_CONTRACT;Test-07;8;2;6;[id, reference, new_client, delivery, customer, total, payment, order];[customer, delivery, id, reference, total];[new_client];[];[];[];[]
MR270;CONJUNCTIVE_EXTEND;Test-17;5;1;6;[reference, delivery, total, payment, order];[customer, from, id, new_client, status, to];[];[];[];[];[]
MR199;CONJUNCTIVE_CONTRACT;Test-13;7;4;6;[id, reference, new_client, customer, total, status, order];[id, status];[customer, reference];[new_client];[total];[];[]
MR271;CONJUNCTIVE_EXTEND;Test-17;5;2;6;[reference, delivery, total, payment, order];[from, id, new_client, status];[customer, to];[];[];[];[]
MR172;CONJUNCTIVE_EXTEND;Test-11;9;2;2;[id, reference, new_client, delivery, payment, status, from, to, order];[total];[customer];[];[];[];[]
MR126;DISJOINT_EXTEND;Test-08;5;1;1;[id, new_client:no, delivery, status, order];[new_client:yes];[];[];[];[];[]
MR272;CONJUNCTIVE_EXTEND;Test-17;5;3;6;[reference, delivery, total, payment, order];[id, new_client, status, to];[from];[customer];[];[];[]
MR258;SHUFFLING_EXTEND;Test-16;9;2;2;[id, new_client, delivery, customer, total, payment, status, to, order:id descending];[order:id ascending];[order:reference ascending];[];[];[];[]
MR112;CONJUNCTIVE_CONTRACT;Test-08;5;2;4;[id, new_client, delivery, status, order];[delivery];[id, new_client, status];[];[];[];[]
MR253;CONJUNCTIVE_CONTRACT;Test-16;9;3;7;[id, new_client, delivery, customer, total, payment, status, to, order];[total];[delivery, id, new_client, status, to];[customer];[];[];[]
MR237;CONJUNCTIVE_EXTEND;Test-15;5;3;6;[id, reference, payment, status, order];[delivery, from, new_client, to];[total];[customer];[];[];[]
MR203;CONJUNCTIVE_EXTEND;Test-13;7;1;3;[id, reference, new_client, customer, total, status, order];[delivery, from, to];[];[];[];[];[]
MR21;CONJUNCTIVE_CONTRACT;Test-02;11;1;9;[id, reference, new_client, delivery, customer, total, payment, status, from, to, order];[customer, delivery, from, id, new_client, reference, status, to, total];[];[];[];[];[]
MR256;CONJUNCTIVE_EXTEND;Test-16;9;1;2;[id, new_client, delivery, customer, total, payment, status, to, order];[from, reference];[];[];[];[];[]
MR232;CONJUNCTIVE_CONTRACT;Test-15;5;3;3;[id, reference, payment, status, order];[status];[id];[reference];[];[];[]
MR218;CONJUNCTIVE_EXTEND;Test-14;5;3;5;[reference, delivery, status, to, order];[customer, from, id];[new_client];[total];[];[];[]
MR54;CONJUNCTIVE_EXTEND;Test-04;5;4;5;[id, total, status, to, order];[delivery, new_client];[customer];[from];[reference];[];[]
MR175;SHUFFLING_EXTEND;Test-11;9;2;2;[id, reference, new_client, delivery, payment, status, from, to, order:delivery ascending];[order:id ascending];[order:id descending];[];[];[];[]
MR32;CONJUNCTIVE_CONTRACT;Test-03;4;2;3;[delivery, customer, from, order];[customer];[delivery, from];[];[];[];[]
MR287;SHUFFLING_EXTEND;Test-18;10;2;2;[id, reference, new_client, delivery, customer, total, payment, status, to, order:id descending];[order:id ascending];[order:reference ascending];[];[];[];[]
MR246;COMPLETE_EXTEND;Test-15;5;2;2;[id, reference, payment, status, order];[new_client:yes];[new_client:no];[];[];[];[]
MR261;CONJUNCTIVE_CONTRACT;Test-17;5;1;3;[reference, delivery, total, payment, order];[delivery, reference, total];[];[];[];[];[]
MR156;CONJUNCTIVE_EXTEND;Test-10;7;1;4;[reference, delivery, customer, total, payment, status, order];[from, id, new_client, to];[];[];[];[];[]
MR86;CONJUNCTIVE_EXTEND;Test-06;9;2;2;[reference, new_client, customer, total, payment, status, from, to, order];[delivery];[id];[];[];[];[]
MR105;SHUFFLING_EXTEND;Test-07;8;4;4;[id, reference, new_client, delivery, customer, total, payment, order:id descending];[order:id ascending];[order:reference ascending];[order:reference descending];[order:delivery ascending];[];[]
MR190;CONJUNCTIVE_EXTEND;Test-12;8;2;3;[id, new_client, customer, total, payment, from, to, order];[delivery, status];[reference];[];[];[];[]
MR39;CONJUNCTIVE_EXTEND;Test-03;4;4;6;[delivery, customer, from, order];[id, total];[new_client];[status];[reference, to];[];[]
MR59;CONJUNCTIVE_EXTEND;Test-04;5;2;5;[id, total, status, to, order];[new_client, reference];[customer, delivery, from];[];[];[];[]
MR288;DISJOINT_EXTEND;Test-18;10;1;1;[id, reference, new_client:no, delivery, customer, total, payment, status, to, order];[new_client:yes];[];[];[];[];[]
MR264;CONJUNCTIVE_CONTRACT;Test-17;5;2;3;[reference, delivery, total, payment, order];[reference];[delivery, total];[];[];[];[]
MR91;DISJOINT_EXTEND;Test-06;9;1;1;[reference, new_client:no, customer, total, payment, status, from, to, order];[new_client:yes];[];[];[];[];[]
MR95;CONJUNCTIVE_CONTRACT;Test-07;8;2;6;[id, reference, new_client, delivery, customer, total, payment, order];[customer, id, new_client, total];[delivery, reference];[];[];[];[]
MR93;CONJUNCTIVE_CONTRACT;Test-07;8;2;6;[id, reference, new_client, delivery, customer, total, payment, order];[customer, delivery, id, new_client, total];[reference];[];[];[];[]
MR241;CONJUNCTIVE_EXTEND;Test-15;5;3;6;[id, reference, payment, status, order];[from];[customer, new_client, to, total];[delivery];[];[];[]
MR197;CONJUNCTIVE_CONTRACT;Test-13;7;2;6;[id, reference, new_client, customer, total, status, order];[new_client];[customer, id, reference, status, total];[];[];[];[]
MR202;CONJUNCTIVE_CONTRACT;Test-13;7;2;6;[id, reference, new_client, customer, total, status, order];[customer, id, reference];[new_client, status, total];[];[];[];[]
MR135;CONJUNCTIVE_CONTRACT;Test-09;8;2;6;[id, reference, delivery, customer, total, payment, status, order];[delivery, id, reference, total];[customer, status];[];[];[];[]
MR63;COMPLETE_EXTEND;Test-04;5;2;2;[id, total, status, to, order];[new_client:yes];[new_client:no];[];[];[];[]
MR255;CONJUNCTIVE_EXTEND;Test-16;9;2;2;[id, new_client, delivery, customer, total, payment, status, to, order];[reference];[from];[];[];[];[]
MR173;CONJUNCTIVE_EXTEND;Test-11;9;2;2;[id, reference, new_client, delivery, payment, status, from, to, order];[customer];[total];[];[];[];[]
MR204;CONJUNCTIVE_EXTEND;Test-13;7;3;3;[id, reference, new_client, customer, total, status, order];[delivery];[to];[from];[];[];[]
MR60;CONJUNCTIVE_EXTEND;Test-04;5;3;5;[id, total, status, to, order];[customer, reference];[delivery, from];[new_client];[];[];[]
