MR;Type;STC;FUTCs;LocalDistance
MR152;CONJUNCTIVE_CONTRACT;Test-10;3;5
MR173;CONJUNCTIVE_CONTRACT;Test-11;2;7
MR145;SHUFFLING_CONTRACT;Test-09;1;1
MR197;SHUFFLING_EXTEND;Test-12;5;5
MR1;CONJUNCTIVE_CONTRACT;Test-01;2;5
MR271;CONJUNCTIVE_EXTEND;Test-17;2;6
MR101;CONJUNCTIVE_EXTEND;Test-07;2;3
MR67;CONJUNCTIVE_CONTRACT;Test-05;4;7
MR69;CONJUNCTIVE_CONTRACT;Test-05;3;7
MR138;CONJUNCTIVE_EXTEND;Test-09;2;3
MR54;CONJUNCTIVE_EXTEND;Test-04;1;5
MR237;CONJUNCTIVE_CONTRACT;Test-15;3;3
MR261;DISJOINT_EXTEND;Test-16;1;1
MR267;CONJUNCTIVE_CONTRACT;Test-17;2;3
MR30;CONJUNCTIVE_CONTRACT;Test-03;2;3
MR9;CONJUNCTIVE_EXTEND;Test-01;3;4
MR19;CONJUNCTIVE_CONTRACT;Test-02;4;9
MR82;CONJUNCTIVE_CONTRACT;Test-06;4;7
MR18;CONJUNCTIVE_CONTRACT;Test-02;1;9
MR230;SHUFFLING_CONTRACT;Test-14;1;1
MR158;CONJUNCTIVE_EXTEND;Test-10;2;4
MR243;CONJUNCTIVE_EXTEND;Test-15;3;6
MR217;CONJUNCTIVE_CONTRACT;Test-14;2;4
MR6;CONJUNCTIVE_CONTRACT;Test-01;2;5
MR219;CONJUNCTIVE_CONTRACT;Test-14;3;4
MR260;SHUFFLING_EXTEND;Test-16;4;4
MR266;CONJUNCTIVE_CONTRACT;Test-17;1;3
MR176;CONJUNCTIVE_CONTRACT;Test-11;1;7
MR262;CONJUNCTIVE_CONTRACT;Test-17;2;3
MR148;CONJUNCTIVE_CONTRACT;Test-10;3;5
MR140;CONJUNCTIVE_EXTEND;Test-09;1;3
MR100;CONJUNCTIVE_CONTRACT;Test-07;2;6
MR183;CONJUNCTIVE_CONTRACT;Test-12;3;6
MR90;SHUFFLING_CONTRACT;Test-06;1;1
MR144;CONJUNCTIVE_EXTEND;Test-09;2;3
MR16;DISJOINT_EXTEND;Test-01;1;1
