MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR10;EQUIVALENCE_EXTEND;Test-03;7;1;3;[term, media, entity, attribute, callback, limit, explicit];[country:US, lang:en_us, version:2];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR27;DISJOINT_EXTEND;Test-08;6;4;4;[term, country:IT, media, entity, attribute, version];[];[];[country:AD];[];[];[country:AE];[];[];[country:AF];[];[];[country:AG];[];[];[];[];[];[]
MR36;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[limit:50];[];[];[country:US, lang:en_us];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR28;DISJOINT_EXTEND;Test-08;6;1;1;[term, country, media, entity:album, attribute, version];[];[];[entity:mix];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR1;DISJOINT_EXTEND;Test-01;8;5;5;[term, country:JP, media, attribute, callback, limit, lang, explicit];[];[];[country:AD];[];[];[country:AE];[];[];[country:AF];[];[];[country:AG];[];[];[country:AI];[];[];[]
MR45;EQUIVALENCE_EXTEND;Test-12;6;2;3;[term, country, media, entity, callback, explicit];[lang:en_us];[];[];[limit:50, version:2];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR43;DISJOINT_EXTEND;Test-12;6;3;3;[term, country:JP, media, entity, callback, explicit];[];[];[country:AD];[];[];[country:AE];[];[];[country:AF];[];[];[];[];[];[];[];[];[]
MR19;EQUIVALENCE_EXTEND;Test-06;7;1;2;[term, country, media, attribute, callback, limit, version];[explicit:Yes, lang:en_us];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR32;EQUIVALENCE_EXTEND;Test-08;6;2;3;[term, country, media, entity, attribute, version];[explicit:Yes, lang:en_us];[];[];[limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR12;EQUIVALENCE_EXTEND;Test-03;7;3;3;[term, media, entity, attribute, callback, limit, explicit];[lang:en_us];[];[];[country:US];[];[];[version:2];[];[];[];[];[];[];[];[];[];[];[]
MR20;DISJOINT_EXTEND;Test-07;4;6;6;[term, country:JP, callback, lang];[];[];[country:AD];[];[];[country:AE];[];[];[country:AF];[];[];[country:AG];[];[];[country:AI];[];[];[country:AL]
MR54;EQUIVALENCE_EXTEND;Test-15;5;3;3;[term, country, callback, version, explicit];[lang:en_us];[];[];[limit:50];[];[];[media:all];[];[];[];[];[];[];[];[];[];[];[]
MR48;EQUIVALENCE_EXTEND;Test-13;7;1;1;[term, country, media, entity, lang, version, explicit];[limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR49;EQUIVALENCE_EXTEND;Test-14;8;2;2;[term, media, entity, attribute, callback, lang, version, explicit];[limit:50];[];[];[country:US];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR26;EQUIVALENCE_EXTEND;Test-07;4;3;4;[term, country, callback, lang];[explicit:Yes];[];[];[limit:50];[];[];[media:all, version:2];[];[];[];[];[];[];[];[];[];[];[]
MR46;EQUIVALENCE_EXTEND;Test-12;6;2;3;[term, country, media, entity, callback, explicit];[version:2];[];[];[lang:en_us, limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR8;DISJOINT_EXTEND;Test-03;7;1;1;[term, media, entity:album, attribute, callback, limit, explicit];[];[];[entity:mix];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
